GEOID5	Primary RUCA Code 2010	"Secondary RUCA Code, 2010 (see errata)"	"Tract Population, 2010"	"Land Area (square miles), 2010"	"Population Density (per square mile), 2010"
01001020100	1	1	"1,912"	3.8	504.8
01001020200	1	1	"2,170"	1.3	"1,682.5"
01001020300	1	1	"3,373"	2.1	"1,633.1"
01001020400	1	1	"4,386"	2.5	"1,779.8"
01001020500	1	1	"10,766"	4.4	"2,446.4"
01001020600	1	1	"3,668"	3.1	"1,184.5"
01001020700	1	1	"2,891"	8.7	334.1
01001020801	2	2	"3,081"	48.0	64.2
01001020802	2	2	"10,435"	73.7	141.6
01001020900	2	2	"5,675"	113.0	50.2
01001021000	2	2	"2,894"	149.4	19.4
01001021100	2	2	"3,320"	184.6	18.0
01003010100	9	9	"3,804"	375.1	10.1
01003010200	8	8	"2,902"	85.6	33.9
01003010300	3	3	"7,826"	132.7	59.0
01003010400	3	3	"4,736"	284.6	16.6
01003010500	7	7	"4,815"	6.7	713.5
01003010600	7	7	"3,325"	7.2	463.8
01003010701	1	1.1	"7,882"	42.0	187.8
01003010703	1	1.1	"13,166"	55.7	236.4
01003010704	1	1.1	"5,055"	3.2	"1,558.4"
01003010705	1	1.1	"8,331"	6.7	"1,235.9"
01003010800	1	1.1	"6,861"	7.0	982.8
01003010903	1	1.1	"5,173"	21.5	241.0
01003010904	3	3	"6,831"	106.6	64.1
01003010905	3	3	"8,011"	27.5	291.8
01003010906	3	3	"4,302"	15.2	283.0
01003011000	5	5	"4,305"	50.4	85.5
01003011101	1	1.1	"8,397"	12.9	648.8
01003011102	2	2	"3,715"	17.5	212.1
01003011201	1	1.1	"4,230"	4.8	886.0
01003011202	1	1.1	"5,065"	5.2	964.8
01003011300	2	2	"4,487"	25.4	177.0
01003011401	5	5	"10,632"	63.6	167.1
01003011403	4	4	"9,131"	32.9	277.4
01003011405	1	1	"3,832"	6.0	640.6
01003011406	4	4	"3,412"	13.2	258.9
01003011407	4	4	"4,799"	13.0	368.9
01003011408	5	5	433	10.6	41.0
01003011501	4	4	"5,316"	14.9	356.7
01003011502	4	4	"10,534"	20.0	525.5
01003011601	5	5	"6,062"	90.6	66.9
01003011602	1	1	"4,895"	31.5	155.6
01003990000	99	99	0	0.0	
01005950100	7	7	"3,321"	187.4	17.7
01005950200	8	8	"4,264"	199.6	21.4
01005950300	10	10	"1,638"	136.2	12.0
01005950400	10	10	"4,303"	132.6	32.5
01005950500	8	8	"3,467"	128.8	26.9
01005950600	7	7	"2,099"	39.3	53.5
01005950700	7	7	"1,727"	49.1	35.2
01005950800	7	7	"2,055"	5.6	363.8
01005950900	7	7	"4,583"	6.3	732.6
01007010001	2	2	"2,732"	91.0	30.0
01007010002	2	2	"6,025"	69.7	86.4
01007010003	2	2	"5,391"	267.1	20.2
01007010004	2	2	"8,767"	194.8	45.0
01009050101	7	7.1	"7,858"	83.1	94.6
01009050102	7	7.1	"7,050"	71.2	99.0
01009050200	2	2	"3,789"	45.2	83.8
01009050300	9	9	"5,269"	73.2	72.0
01009050400	10	10	"4,451"	94.8	47.0
01009050500	3	3	"7,329"	96.0	76.3
01009050601	2	2	"3,922"	32.4	121.2
01009050602	2	2	"8,923"	70.2	127.0
01009050700	2	2	"8,731"	78.7	111.0
01011952100	2	2	"1,434"	165.3	8.7
01011952200	2	2	"7,102"	153.9	46.2
01011952500	2	2	"2,378"	303.6	7.8
01013952700	7	7	"2,439"	51.7	47.2
01013952800	7	7	"1,394"	1.3	"1,045.5"
01013952900	10	10.3	"2,180"	22.2	98.3
01013953000	8	8	"1,469"	170.5	8.6
01013953100	7	7	"3,023"	12.4	243.2
01013953200	8	8	"4,327"	184.8	23.4
01013953300	2	2	"1,774"	136.0	13.0
01013953400	10	10	"2,931"	95.9	30.6
01013953500	2	2	"1,410"	102.1	13.8
01015000200	1	1	"3,104"	2.6	"1,182.5"
01015000300	1	1	"2,951"	1.0	"2,916.2"
01015000400	1	1	"2,812"	3.9	718.8
01015000500	1	1	"1,814"	0.9	"2,004.6"
01015000600	1	1	"2,191"	2.6	835.2
01015000700	1	1	"2,715"	17.7	153.5
01015000800	1	1	"1,379"	1.4	979.8
01015000900	1	1	"3,362"	4.7	718.7
01015001000	1	1	"5,792"	6.4	899.6
01015001100	1	1	"6,565"	18.8	349.5
01015001201	1	1	"3,482"	2.8	"1,231.5"
01015001202	1	1	"4,318"	9.1	475.5
01015001300	1	1	"2,211"	2.2	983.6
01015001400	1	1	"3,731"	8.2	454.7
01015001500	1	1	"5,198"	21.0	247.0
01015001600	1	1	"3,791"	5.5	693.7
01015001700	1	1	"6,329"	7.2	877.4
01015001800	1	1	"6,919"	15.9	435.7
01015002000	2	2	"7,335"	92.4	79.4
01015002101	1	1	"3,992"	5.3	755.3
01015002102	1	1	"3,411"	8.0	428.1
01015002103	1	1	"6,801"	9.7	697.6
01015002200	2	2	"3,652"	33.9	107.6
01015002300	2	2	"3,843"	34.2	112.5
01015002400	2	2	"4,518"	48.1	94.0
01015002501	2	2	"7,069"	37.5	188.3
01015002502	2	2	"4,661"	63.3	73.6
01015002600	2	2	"4,615"	68.3	67.6
01015981901	2	2	6	24.3	0.2
01015981902	2	2	5	34.8	0.1
01015981903	10	10	0	13.9	0.0
01017953800	6	6	"3,619"	199.2	18.2
01017953900	4	4	"2,900"	38.0	76.4
01017954000	2	2	"6,669"	261.0	25.6
01017954200	5	5	"3,257"	24.3	134.2
01017954300	4	4	"4,708"	51.3	91.7
01017954400	4	4	995	1.7	584.6
01017954500	4	4	"3,804"	2.7	"1,417.9"
01017954600	4	4	"3,411"	3.7	911.9
01017954700	4	4	"4,852"	14.7	330.4
01019955701	2	2	"3,332"	40.0	83.2
01019955702	3	3	"3,872"	136.5	28.4
01019955800	2	2	"5,561"	90.2	61.6
01019955900	3	3	"4,235"	118.9	35.6
01019956000	3	3	"4,017"	24.0	167.3
01019956100	2	2	"4,972"	144.0	34.5
01021060101	7	7	"5,219"	21.6	241.8
01021060102	7	7	"6,303"	24.9	253.4
01021060200	8	8	"2,807"	38.1	73.8
01021060300	2	2	"3,808"	104.9	36.3
01021060401	2	2	"5,466"	35.2	155.2
01021060402	2	2	"8,776"	94.4	93.0
01021060500	10	10	"2,902"	174.2	16.7
01021060600	9	9	"3,261"	100.7	32.4
01021060700	8	8	"5,101"	99.0	51.5
01023956700	5	5	"3,184"	223.0	14.3
01023956800	10	10	"4,423"	290.6	15.2
01023956900	10	10	"3,879"	223.4	17.4
01023957000	10	10	"2,373"	176.6	13.4
01025957500	8	8	"1,760"	96.1	18.3
01025957601	10	10	998	189.1	5.3
01025957602	7	7	"5,515"	74.7	73.9
01025957700	5	5	"1,329"	142.9	9.3
01025957800	10	10.1	"5,488"	321.5	17.1
01025957901	2	2	"3,493"	145.1	24.1
01025957902	7	7	"4,230"	41.6	101.6
01025958001	10	10.1	"1,289"	54.7	23.6
01025958002	10	10	"1,731"	172.7	10.0
01027958900	2	2	"5,324"	198.1	26.9
01027959000	2	2	"3,224"	69.3	46.5
01027959100	10	10	"2,904"	147.9	19.6
01027959200	5	5	"2,480"	188.6	13.1
01029959500	2	2	"2,684"	189.8	14.1
01029959600	2	2	"4,202"	94.1	44.6
01029959700	2	2	"3,419"	161.7	21.1
01029959800	5	5	"4,667"	114.4	40.8
01031010100	6	6	"2,057"	93.8	21.9
01031010200	5	5	"1,841"	80.4	22.9
01031010300	5	5	"4,258"	113.0	37.7
01031010400	5	5	"2,152"	81.2	26.5
01031010500	10	10	"4,558"	77.5	58.8
01031010600	10	10	"1,561"	49.4	31.6
01031010700	5	5	"2,286"	82.4	27.7
01031010800	5	5	"2,840"	52.9	53.7
01031010900	4	4	"2,117"	7.8	270.6
01031011000	4	4	"3,526"	11.1	318.3
01031011100	4	4	"2,026"	1.3	"1,593.3"
01031011201	4	4	"8,036"	15.7	511.5
01031011202	4	4	"8,530"	4.8	"1,763.2"
01031011300	4	4	"4,160"	7.6	547.9
01033020100	1	1	"3,467"	1.7	"2,054.3"
01033020200	1	1	"1,957"	0.8	"2,351.2"
01033020300	1	1	"2,032"	2.0	"1,009.5"
01033020400	1	1	"1,530"	2.0	753.5
01033020500	1	1	"5,221"	9.1	572.7
01033020600	1	1	"4,128"	3.8	"1,084.1"
01033020701	1	1	"6,103"	43.6	140.0
01033020703	1	1	"5,175"	3.1	"1,646.4"
01033020704	1	1	"4,321"	2.8	"1,539.5"
01033020801	2	2	"4,487"	45.9	97.7
01033020802	2	2	"3,766"	83.1	45.3
